traffic,temperture,relative_humidity,wind_direction,wind_speed,pressure,condition,EPA,PM
4007,59,0.67,1,16,29.42,1,2.283,2.183
3706,64,0.52,2,14,29.62,1,1.733,4.233
6502,81,0.45,1,14,29.33,2,8.567,11.55
6222,57,0.72,3,15,29.65,1,2.917,6.85
4369,63,1.0,4,7,29.27,3,2.983,7.983
6219,77,0.57,1,8,29.22,4,4.083,5.433
6172,82,0.26,5,9,29.22,2,4.833,7.317
2759,64,0.94,6,14,29.33,1,2.45,1.35
6745,66,0.68,2,10,29.77,4,3.233,7.95
6594,59,0.88,7,6,29.54,1,3.117,5.517
7368,55,0.88,6,8,29.56,3,2.85,5.55
900.0,52,0.76,7,10,29.51,5,5.1,4.727
5001,55,0.67,4,15,29.39,6,4.983,1.717
3593,55,0.67,2,8,29.74,1,5.517,2.867
6042,79,0.51,2,8,29.59,2,13.55,10.983
6889,77,0.24,8,10,29.36,2,15.183,17.4
3745,57,0.82,8,12,29.62,1,4.067,3.717
5957,79,0.47,8,9,29.19,4,5.433,5.767
4015,61,0.77,1,12,29.68,1,4.617,1.733
3630,57,0.67,3,14,29.65,1,7.567,8.8
3630,57,0.67,3,14,29.65,1,7.567,8.8
3425,79,0.39,9,12,29.48,2,5.717,4.333
7236,68,0.37,10,6,29.71,2,9.283,12.55
2694,57,0.59,1,15,29.45,1,1.933,3.183
4197,64,0.88,4,8,29.27,3,6.833,7.067
3870.0,52,0.76,7,10,29.51,5,5.1,4.167
4161,50,0.87,4,10,29.56,1,4.15,8.133
7284,61,0.55,6,18,29.51,1,2.417,5.5
2417,55,0.88,11,6,29.48,1,6.517,1.567
3627,52,0.94,4,8,29.54,2,2.433,7.633
6805,81,0.37,1,10,29.59,2,9.483,12.617
3762,55,0.82,3,6,29.74,2,6.933,7.083
4133,68,0.64,12,8,29.3,2,13.6,20.5
6252,81,0.37,5,7,29.3,7,8.85,8.467
5928,61,0.94,1,16,29.45,3,5.683,2.35
8025,66,0.94,5,16,29.3,8,1.55,5.55
3745,57,0.82,8,12,29.62,1,4.067,3.717
4813,66,0.68,9,6,29.45,2,11.083,4.7
3720.0,52,0.76,7,10,29.51,5,5.1,15.0
3834,57,0.82,11,3,29.48,1,7.0,6.733
1333,57,0.63,6,12,29.39,1,1.917,2.25
8882,66,0.56,1,17,29.54,2,6.867,12.983
4879,59,0.55,1,16,29.77,2,0.5,3.917
5412,72,0.78,3,15,29.22,4,9.05,7.65
6624,57,0.55,2,15,29.51,1,2.55,6.017
4111,82,0.35,9,8,29.45,1,1.8,3.05
6546,55,0.88,11,7,29.48,4,6.733,3.967
3833,52,0.94,7,8,29.74,2,4.533,2.933
3570.0,52,0.76,7,10,29.51,5,5.1,8.0
2310,86,0.18,11,17,29.1,2,8.733,2.633
3612,81,0.42,2,6,29.39,2,9.55,9.117
1740.0,52,0.76,7,10,29.51,5,5.1,6.333
4755,64,0.94,3,10,29.07,3,2.0,7.5
3950,61,0.68,3,10,29.54,2,1.183,0.967
6031,100,0.12,13,18,29.04,2,5.15,6.85
5245,61,0.63,8,17,29.51,1,0.733,2.05
7060,75,0.47,1,16,29.71,4,6.4,7.167
4980.0,52,0.76,7,10,29.51,5,5.1,6.4
7372,55,0.88,4,9,29.59,2,0.833,4.367
2160.0,52,0.76,7,10,29.51,5,5.1,3.5
7727,68,0.52,1,17,29.51,2,9.017,6.867
5110,63,0.68,1,18,29.3,1,9.867,7.283
6905,68,0.43,1,14,29.59,2,6.333,9.283
4606,59,0.94,12,8,29.59,2,5.35,13.9
6658,63,0.72,1,17,29.51,1,3.85,2.3
2850.0,52,0.76,7,10,29.51,5,5.1,9.211
3816,63,0.63,8,20,29.59,1,7.15,3.283
7879,77,0.36,2,20,29.68,2,6.067,2.733
3627,54,0.94,12,8,29.54,2,6.817,3.617
8629,64,0.68,13,7,29.54,2,5.95,12.683
6940,72,0.41,2,6,29.33,2,14.233,15.183
2623,86,0.18,11,20,29.1,2,2.633,7.717
3990.0,52,0.76,7,10,29.51,5,5.1,12.0
6658,63,0.72,1,17,29.51,1,3.85,2.3
2389,59,0.55,6,12,29.62,1,8.05,9.583
2983,61,0.77,11,12,29.36,2,4.467,2.833
6073,63,0.82,1,20,29.48,6,1.567,4.233
2830,59,0.82,14,1,29.39,2,1.6,6.05
