WKT,name,description
"POINT (144.9549963 -37.8210075)",Point 1,
"POINT (144.9559136 -37.8207447)",Point 2,
"POINT (144.9566914 -37.8205202)",Point 3,
"POINT (144.9575068 -37.820304)",Point 4,
"POINT (144.958212 -37.8200521)",Point 5,
"POINT (144.9590837 -37.8198086)",Point 6,
"POINT (144.9599688 -37.8195543)",Point 7,
"POINT (144.9610447 -37.8192523)",Point 8,
"POINT (144.9618654 -37.8189895)",Point 9,
"POINT (144.9624233 -37.8188294)",Point 10,
"POINT (144.9629812 -37.818681)",Point 11,
"POINT (144.9649015 -37.8181261)",Point 12,
"POINT (144.9660066 -37.8178464)",Point 13,
"POINT (144.9674037 -37.8174358)",Point 14,
"POINT (144.9693054 -37.8168885)",Point 15,
"POINT (144.9699009 -37.8166851)",Point 16,
"POINT (144.9703323 -37.8165702)",Point 17,
"POINT (144.9723333 -37.8159812)",Point 18,
"POINT (144.9747915 -37.8152536)",Point 19,
"POINT (144.9743297 -37.8143375)",Point 20,
"POINT (144.9718996 -37.8150155)",Point 21,
"POINT (144.9704906 -37.8154426)",Point 22,
"POINT (144.9699005 -37.8156333)",Point 23,
"POINT (144.969466 -37.8157774)",Point 24,
"POINT (144.9688804 -37.8159228)",Point 25,
"POINT (144.9669975 -37.8164907)",Point 26,
"POINT (144.9662066 -37.8166909)",Point 27,
"POINT (144.9655843 -37.8168689)",Point 28,
"POINT (144.9644991 -37.817208)",Point 29,
"POINT (144.9625729 -37.8177759)",Point 30,
"POINT (144.9620258 -37.8179157)",Point 31,
"POINT (144.961458 -37.8180912)",Point 32,
"POINT (144.9606318 -37.8183412)",Point 33,
"POINT (144.9595674 -37.8187018)",Point 34,
"POINT (144.9586731 -37.8189535)",Point 35,
"POINT (144.9578148 -37.8192035)",Point 36,
"POINT (144.9570967 -37.8194171)",Point 37,
"POINT (144.9563242 -37.8196332)",Point 38,
"POINT (144.9555356 -37.8198621)",Point 39,
"POINT (144.9546242 -37.8201064)",Point 40,
"POINT (144.9541307 -37.8190639)",Point 41,
"POINT (144.9566144 -37.818369)",Point 42,
"POINT (144.9591086 -37.817648)",Point 43,
"POINT (144.9597148 -37.8174658)",Point 44,
"POINT (144.9615786 -37.8169341)",Point 45,
"POINT (144.9640826 -37.8162259)",Point 46,
"POINT (144.9657617 -37.8157555)",Point 47,
"POINT (144.9665405 -37.8155095)",Point 48,
"POINT (144.9690009 -37.8147933)",Point 49,
"POINT (144.970034 -37.8144807)",Point 50,
"POINT (144.9714663 -37.8140569)",Point 51,
"POINT (144.9738528 -37.8133564)",Point 52,
"POINT (144.9734349 -37.8123552)",Point 53,
"POINT (144.9709834 -37.8130757)",Point 54,
"POINT (144.9685412 -37.8138006)",Point 55,
"POINT (144.96607 -37.8145107)",Point 56,
"POINT (144.9635976 -37.8152289)",Point 57,
"POINT (144.9611248 -37.8159638)",Point 58,
"POINT (144.9592838 -37.8164894)",Point 59,
"POINT (144.9586348 -37.8166674)",Point 60,
"POINT (144.9574632 -37.8170115)",Point 61,
"POINT (144.9567015 -37.8172191)",Point 62,
"POINT (144.9561758 -37.8174141)",Point 63,
"POINT (144.9563815 -37.8178559)",Point 64,
"POINT (144.9539085 -37.8185594)",Point 65,
