point_id,longitude,latitude
1,144.9549963,-37.8210075
2,144.9559136,-37.8207447
3,144.9566914,-37.8205202
4,144.9575068,-37.820304
5,144.958212,-37.8200521
6,144.9590837,-37.8198086
7,144.9599688,-37.8195543
8,144.9610447,-37.8192523
9,144.9618654,-37.8189895
10,144.9624233,-37.8188294
11,144.9629812,-37.818681
12,144.9649015,-37.8181261
13,144.9660066,-37.8178464
14,144.9674037,-37.8174358
15,144.9693054,-37.8168885
16,144.9699009,-37.8166851
17,144.9703323,-37.8165702
18,144.9723333,-37.8159812
19,144.9747915,-37.8152536
20,144.9743297,-37.8143375
21,144.9718996,-37.8150155
22,144.9704906,-37.8154426
23,144.9699005,-37.8156333
24,144.969466,-37.8157774
25,144.9688804,-37.8159228
26,144.9669975,-37.8164907
27,144.9662066,-37.8166909
28,144.9655843,-37.8168689
29,144.9644991,-37.817208
30,144.9625729,-37.8177759
31,144.9620258,-37.8179157
32,144.961458,-37.8180912
33,144.9606318,-37.8183412
34,144.9595674,-37.8187018
35,144.9586731,-37.8189535
36,144.9578148,-37.8192035
37,144.9570967,-37.8194171
38,144.9563242,-37.8196332
39,144.9555356,-37.8198621
40,144.9546242,-37.8201064
41,144.9541307,-37.8190639
42,144.9566144,-37.818369
43,144.9591086,-37.817648
44,144.9597148,-37.8174658
45,144.9615786,-37.8169341
46,144.9640826,-37.8162259
47,144.9657617,-37.8157555
48,144.9665405,-37.8155095
49,144.9690009,-37.8147933
50,144.970034,-37.8144807
51,144.9714663,-37.8140569
52,144.9738528,-37.8133564
53,144.9734349,-37.8123552
54,144.9709834,-37.8130757
55,144.9685412,-37.8138006
56,144.96607,-37.8145107
57,144.9635976,-37.8152289
58,144.9611248,-37.8159638
59,144.9592838,-37.8164894
60,144.9586348,-37.8166674
61,144.9574632,-37.8170115
62,144.9567015,-37.8172191
63,144.9561758,-37.8174141
64,144.9563815,-37.8178559
65,144.9539085,-37.8185594
66,144.9536605,-37.8180721
67,144.954213,-37.8179026
68,144.9532403,-37.81711
69,144.9537982,-37.8169362
70,144.9548068,-37.8166523
71,144.9552735,-37.8165167
72,144.9557133,-37.8163946
73,144.9562873,-37.8162251
74,144.9567487,-37.8160853
75,144.9570544,-37.8160048
76,144.9572261,-37.8159624
77,144.9576187,-37.8158313
78,144.9582034,-37.8156957
79,144.9586983,-37.8155474
80,144.9596318,-37.8152762
81,144.9600985,-37.8162509
82,144.9606912,-37.8149689
83,144.9614717,-37.8147464
84,144.9619331,-37.8157254
85,144.9631589,-37.8142676
86,144.9617109,-37.8146765
87,144.9627006,-37.8132674
88,144.9616733,-37.8135923
89,144.9612576,-37.8137004
90,144.9608338,-37.8138106
91,144.9602115,-37.8140034
92,144.959183,-37.8142968
93,144.9582711,-37.8145637
94,144.9577639,-37.8146957
95,144.9571846,-37.8148694
96,144.9567554,-37.8150008
97,144.9562726,-37.815111
98,144.9556676,-37.815303
99,144.9552706,-37.8153962
100,144.9543654,-37.8156659
101,144.9528243,-37.8161117
102,144.9523629,-37.8151539
103,144.9539481,-37.8146941
104,144.9548413,-37.8144462
105,144.9558284,-37.8141623
106,144.9552275,-37.8143699
107,144.9566887,-37.8138944
108,144.9573191,-37.8137228
109,144.9597757,-37.8130388
110,144.9603729,-37.8128563
111,144.9608208,-37.8127144
112,144.9612044,-37.8125999
113,144.9622611,-37.8122991
114,144.951889,-37.8141727
115,144.953442,-37.8137404
116,144.9543727,-37.8134734
117,144.9549789,-37.8132891
118,144.9554004,-37.8131684
119,144.9568649,-37.8127552
120,144.9593405,-37.8120347
121,144.9603651,-37.8117359
122,144.9610035,-37.8115558
123,144.9618028,-37.81131
124,144.961319,-37.8103319
125,144.9588649,-37.8110375
126,144.9575493,-37.8114164
127,144.9564237,-37.8117276
128,144.9549411,-37.812161
129,144.9544476,-37.8123135
130,144.9539326,-37.8124661
131,144.9513577,-37.8131442
132,144.9559389,-37.8107031
133,144.9570225,-37.810381
134,144.9583958,-37.8099614
135,144.9608634,-37.8092579
136,144.9610995,-37.8097876
137,144.9635671,-37.8090608
138,144.9593051,-37.809688
139,144.9588277,-37.8086412
140,144.9625318,-37.8087821
141,144.961998,-37.8076187
142,144.9603579,-37.808158
143,144.956765,-37.8098893
144,144.9568831,-37.809421
145,144.9554722,-37.8096732
146,144.956529,-37.8093871
147,144.9582188,-37.8095376
148,144.9578567,-37.8088934
150,144.9555168,-37.8090941
151,144.9560694,-37.8059069
152,144.958317,-37.8061781
153,144.9580917,-37.8076849
154,144.9595214,-37.8062629
155,144.9598727,-37.8070957
156,144.9614391,-37.8065977
157,144.9628875,-37.8066909
158,144.9627695,-37.807403
159,144.9638243,-37.8096169
160,144.9658566,-37.8070167
161,144.9658656,-37.8077789
162,144.9677351,-37.8072661
163,144.9687543,-37.8073508
164,144.9687329,-37.8081391
165,144.9662545,-37.8088851
166,144.9704656,-37.8076127
167,144.9696421,-37.8101344
168,144.9642635,-37.8105863
169,144.9667338,-37.8098531
170,144.9667652,-37.8087442
171,144.9671354,-37.8097508
172,144.9679669,-37.8083882
173,144.9684041,-37.8093757
174,144.9692034,-37.8091532
175,144.9716254,-37.8084433
176,144.9647536,-37.8116071
177,144.9671998,-37.8108294
178,144.9675726,-37.8107235
179,144.9688305,-37.8103802
180,144.9643143,-37.8117168
181,144.9638637,-37.8107272
182,144.9647381,-37.8126661
183,144.9651699,-37.8125411
184,144.9657976,-37.8123801
185,144.9653523,-37.8114223
186,144.9664118,-37.8110938
187,144.9668034,-37.8109624
188,144.966841,-37.8120686
189,144.9672621,-37.811952
190,144.9676537,-37.8118334
191,144.9690806,-37.8114053
192,144.9700945,-37.8111214
193,144.9720659,-37.8094346
194,144.9725111,-37.8103966
195,144.9708643,-37.8108798
196,144.9712076,-37.810795
197,144.9729886,-37.8114011
198,144.9729027,-37.8125136
199,144.9724897,-37.8126343
200,144.9724816,-37.8115536
201,144.9720686,-37.8116681
202,144.9716099,-37.8117846
203,144.9713202,-37.8118821
204,144.9705451,-37.8120982
205,144.9684583,-37.8115939
206,144.9695376,-37.8123915
207,144.9689261,-37.812578
208,144.9680866,-37.8128153
209,144.9673372,-37.8152573
210,144.9677663,-37.8162871
211,144.9675196,-37.8141046
212,144.9656179,-37.8135324
213,144.9670723,-37.8131171
214,144.9671393,-37.8142148
215,144.9666566,-37.81324
216,144.9645144,-37.8182394
217,144.9641335,-37.8173241
218,144.9601949,-37.8173728
219,144.9702978,-37.813275
220,144.9698311,-37.8123215
221,144.9720227,-37.8127776
222,144.9649459,-37.8148452
223,144.9645194,-37.8138684
224,144.9645194,-37.814966
225,144.9640903,-37.8139934
226,144.9713358,-37.807833
227,144.9598842,-37.8140993
228,144.9594282,-37.8131161
229,144.957888,-37.8179876
230,144.9576228,-37.8093069
231,144.957773,-37.8095155
232,144.9565403,-37.8092062
233,144.9594533,-37.8072444
234,144.959185,-37.8066426
235,144.9595981,-37.8065324
236,144.9681951,-37.8171842
237,144.9548448,-37.8155206
238,144.9605494,-37.8105438
